stitch_id1	stitch_id2	drug1	drug2	event_umls_id	event_name	proportional_reporting_ratio	pvalue	confidence	drug1_prr	drug2_prr	observed	expected
CID000000119	CID000001972	GABA	amphotericin B	C0009676	confusion	1.96300429182247	1.18070108026958e-31	3	\N	\N	0.0567	0.028884297521
CID000000119	CID000001972	GABA	amphotericin B	C0020443	elevated cholesterol	45.9876582284448	1.77269527810452e-181	5	2.52765957442506	\N	0.1201	0.0026115702479
CID000000119	CID000001972	GABA	amphotericin B	C0039231	heart rate increased	2.10137027106723	1.92226675507066e-37	3	1.31185743660401	1.26598418864253	0.0583	0.027743801653
CID000000119	CID000001983	GABA	acetaminophen	C0003537	aphasia	16.3541350381217	1.12014763432098e-92	4	2.57288135594965	\N	0.0533	0.0032591145833
CID000000119	CID000001983	GABA	acetaminophen	C0018681	Head ache	2.13949725512858	1.33818022657398e-72	4	1.44359550561365	\N	0.1157	0.054078125
CID000000119	CID000001983	GABA	acetaminophen	C0036983	septic shock	20.9791505792802	5.02897438335101e-173	5	1.46797740391409	1.29906612674083	0.1132	0.0053958333333
CID000000119	CID000002022	GABA	acyclovir	C0001969	Alcoholic intoxication	54.6106779664349	7.02715124317863e-120	4	4.91764705880617	1.9190357798839	0.0687	0.0012579957356
CID000000119	CID000002022	GABA	acyclovir	C0023524	multifocal leukoencephalopathy	49.9787746164919	5.04476524858377e-208	5	6.56986301366263	5.15650222731884	0.1461	0.0029232409382
CID000000119	CID000002022	GABA	acyclovir	C0149721	left ventricular hypertrophy	142.005567451236	1.23486268675355e-214	5	2.13015873018578	1.71519112694836	0.1414	0.00099573560768
CID000000119	CID000002083	GABA	salbutamol	C0038450	stridor	203.376158939178	7.25815850932662e-239	5	4.87142857153296	1.27047847046269	0.1692	0.00083195592287
CID000000119	CID000002162	GABA	amlodipine	C0023518	leucocytosis	83.3365548609058	0	5	2.36638655461787	1.15471528761661	0.3357	0.0040282442748
CID000000119	CID000002244	GABA	aspirin	C0014518	Lyell	59.7190719270621	7.08274721924865e-205	5	1.94798761610148	\N	0.1349	0.0022589098532
CID000000119	CID000002250	GABA	atorvastatin	C0002871	anaemia	2.830032421382	5.96683331402917e-113	4	\N	\N	0.1438	0.050812138728
CID000000119	CID000002250	GABA	atorvastatin	C0040262	tinea versicolor	8534.66666667353	0	5	169.367892976589	5.31114605157377	0.4292	5.0289017341e-05
CID000000119	CID000002265	GABA	azathioprine	C0014356	enterocolitis	239.766565351876	0	5	10.999999999648	\N	0.2988	0.0012462121212
CID000000119	CID000002265	GABA	azathioprine	C0032285	neumonia	4.69061776749488	1.84647060833274e-207	5	\N	\N	0.1996	0.042553030303
CID000000119	CID000002265	GABA	azathioprine	C0973461	dysphasia	451.57894736652	2.39888107898127e-161	4	1.90123456791062	2.60280088343622	0.0975	0.00021590909091
CID000000119	CID000002274	GABA	aztreonam	C0031039	pericardial effusion	16.7752293577212	1.36001010043254e-183	5	\N	1.2960520723824	0.1219	0.0072666666667
CID000000119	CID000002622	GABA	cefepime	C0014518	Lyell	17.0349449493779	0	5	1.94798761610148	1.35682699769402	0.3295	0.019342592593
CID000000119	CID000002650	GABA	ceftazidime	C0014591	epistaxis	25.2320268755614	2.80852972241519e-272	5	1.45154639174958	\N	0.1994	0.0079026548673
CID000000119	CID000002650	GABA	ceftazidime	C0040034	thrombocytopenia	5.80002553219132	0	5	\N	2.06004300965892	0.6031	0.10398230088
CID000000119	CID000002656	GABA	ceftriaxone	C0038450	stridor	175.104477610634	0	5	4.87142857153296	1.27090732041901	0.3352	0.0019142857143
CID000000119	CID000002764	GABA	ciprofloxacin	C0032285	neumonia	3.39370897157651	7.11667173242623e-152	4	\N	1.20267051963228	0.1647	0.048530973451
CID000000119	CID000002907	GABA	cyclophosphamide	C0003962	ascites	7.30030055791618	8.25167771381208e-116	4	2.39298245605639	1.68850653342365	0.0802	0.010985849057
CID000000119	CID000002907	GABA	cyclophosphamide	C0034735	Raynauds phenomenon	288.617543857826	7.14693019750506e-141	4	19.555555555121	\N	0.0776	0.00026886792453
CID000000119	CID000002909	GABA	cyclosporine	C0004626	bacterial pneumonia	18.7908507220882	8.93921243696711e-116	4	1.69583333334747	2.15580474474578	0.0701	0.0037305389222
CID000000119	CID000002909	GABA	cyclosporine	C0034150	peliosis	20.9237733642574	1.94874471258898e-115	4	2.15599999997844	\N	0.0715	0.0034171656687
CID000000119	CID000003325	GABA	famotidine	C0011991	diarrhea	7.71921014273174	0	5	1.51623591784647	1.25127926604305	0.3698	0.047906455863
CID000000119	CID000003325	GABA	famotidine	C0220981	metabolic acidosis	18.5738532108984	3.47815829506608e-170	4	\N	1.12542083103185	0.1227	0.0066060606061
CID000000119	CID000003365	GABA	fluconazole	C0020542	pulmonary hypertension	34.1544677544359	5.04618732548058e-191	5	3.60196078428547	\N	0.1324	0.0038765060241
CID000000119	CID000003365	GABA	fluconazole	C0040822	tremor	5.98214987361463	4.01851689972945e-85	4	2.16798336794731	\N	0.0642	0.010731927711
CID000000119	CID000003367	GABA	fludarabine	C0151904	Aspartate Aminotransferase Increase	6.41344537825905	5.32151258707742e-156	4	\N	\N	0.1272	0.019833333333
CID000000119	CID000003440	GABA	furosemide	C0003962	ascites	30.6166788590476	4.42753707579114e-261	5	2.39298245605639	2.6526641994112	0.189	0.0061731058705
CID000000119	CID000003440	GABA	furosemide	C0022346	icterus	16.3446169952783	7.99252138790846e-194	5	1.8788831233536	1.14332189862565	0.141	0.008626693427
CID000000119	CID000003440	GABA	furosemide	C0151904	Aspartate Aminotransferase Increase	9.05025173675408	1.29160815371613e-265	5	\N	1.06557987978871	0.2327	0.025711991972
CID000000119	CID000003454	GABA	ganciclovir	C0020541	portal hypertension	57.7346938777867	3.39932118397403e-194	5	2.87064225384049	\N	0.123	0.0021304347826
CID000000119	CID000003454	GABA	ganciclovir	C0235527	right heart failure	98.521022726545	4.17714420756136e-317	5	3.17307692312574	\N	0.2513	0.0025507246377
CID000000119	CID000003467	GABA	gentamicin	C1145670	respiratory failure	4.7214022140657	2.49616999715398e-184	5	1.50072816561534	\N	0.1706	0.036133333333
CID000000119	CID000003640	GABA	cortisol	C0040822	tremor	14.5723880597559	1.41099737644495e-190	5	2.16798336794731	1.4412263127293	0.1415	0.0097101449275
CID000000119	CID000003883	GABA	lansoprazole	C0030312	bone marrow failure	15.0789125465947	5.60333560297914e-154	4	\N	1.33342098689604	0.103	0.0068307313065
CID000000119	CID000003929	GABA	linezolid	C0020649	arterial pressure NOS decreased	7.39493813269182	0	5	\N	\N	0.5057	0.068384615385
CID000000119	CID000003958	GABA	lorazepam	C0001122	Acidosis	58.2012742378757	2.71508265553289e-279	5	\N	1.24827564417684	0.2221	0.0038160676533
CID000000119	CID000003958	GABA	lorazepam	C0031039	pericardial effusion	57.7482045707411	9.74916508197943e-286	5	\N	1.4518035326006	0.2244	0.0038858350951
CID000000119	CID000004159	GABA	methylprednisolone	C0004610	Bacteraemia	61.307485605595	4.22543462863882e-240	5	1.63298969073063	2.51946607345975	0.1699	0.0027712765957
CID000000119	CID000004159	GABA	methylprednisolone	C0027947	Neutropenia	2.71098186793091	9.56261216179029e-71	3	\N	1.87279133077768	0.0843	0.031095744681
CID000000119	CID000004159	GABA	methylprednisolone	C0151766	Abnormal LFTs	15.7114948193729	2.44683465619356e-226	5	1.67433628314139	\N	0.1694	0.010781914894
CID000000119	CID000004173	GABA	metronidazole	C0020458	hyperhidrosis	10.1729974157447	1.52990970808135e-151	4	1.22987951807466	\N	0.1109	0.010901408451
CID000000119	CID000004253	GABA	morphine	C0000737	abdominal pain	4.39532477489309	6.87767047966531e-138	4	\N	1.23329886760954	0.1296	0.029485875706
CID000000119	CID000004253	GABA	morphine	C0020456	hyperglycaemia	8.53221389809078	6.22862325528182e-160	4	\N	\N	0.1244	0.014580037665
CID000000119	CID000004253	GABA	morphine	C0085649	edema extremities	7.7775520834184	2.3490891442353e-277	5	1.38382541716601	\N	0.2531	0.032542372881
CID000000119	CID000004594	GABA	omeprazole	C0011175	dehydration	3.18492990475529	4.86255011672887e-85	4	1.79555555555556	1.19108348393507	0.0925	0.029043025362
CID000000119	CID000004594	GABA	omeprazole	C0020615	hypoglycaemia	4.74673328203232	4.1216853747185e-110	4	2.10350877193721	1.11889196378641	0.0895	0.018855072464
CID000000119	CID000004594	GABA	omeprazole	C0085602	excessive thirst	67.9038696529934	1.17570727430239e-253	5	25.6	1.51112891372837	0.1812	0.0026684782609
CID000000119	CID000004595	GABA	ondansetron	C0003962	ascites	10.336801203348	8.09128975061362e-157	4	2.39298245605639	1.07873335300301	0.1071	0.010361038961
CID000000119	CID000004595	GABA	ondansetron	C0032227	Pleural Effusion	13.3488800082516	0	5	\N	1.22571796607911	0.3297	0.024698701299
CID000000119	CID000004679	GABA	pantoprazole	C0003467	Anxiety	5.23994948216759	9.01588125646627e-140	4	1.47254509016856	1.065740925072	0.1216	0.023206330598
CID000000119	CID000004679	GABA	pantoprazole	C0033036	atrial ectopic beats	64.558057008391	5.40317942980146e-195	5	7	\N	0.1301	0.0020152403283
CID000000119	CID000004873	GABA	KCl	C0011127	decubitus ulcer	74.6254587145951	8.67789678425758e-245	5	4.56603773602136	1.4556155924176	0.1754	0.0023504043127
CID000000119	CID000004873	GABA	KCl	C0026946	fungal disease	32.7621538463219	7.2557806828194e-146	4	\N	1.19478910097227	0.0861	0.002628032345
CID000000119	CID000004873	GABA	KCl	C0442874	neuropathy	16.7090312579833	8.3247454686787e-295	5	11.0621099557522	\N	0.2471	0.014788409704
CID000000119	CID000004894	GABA	prednisolone	C0017675	Glossitis	334.871590909167	1.64470591304831e-192	5	77.0000000020533	2.07795931055021	0.1233	0.00036820083682
CID000000119	CID000004894	GABA	prednisolone	C0034063	lung edema	10.4268754551658	1.42055367776268e-95	4	\N	1.1521040774461	0.0599	0.0057447698745
CID000000119	CID000004894	GABA	prednisolone	C1527344	dysphonia	26.8766099631692	5.9542836052569e-96	4	\N	\N	0.0617	0.0022956764296
CID000000119	CID000004900	GABA	prednisone	C0023530	leucopenia	17.1656499635421	1.14236566351395e-150	4	\N	1.37346265993318	0.0989	0.0057615062762
CID000000119	CID000004900	GABA	prednisone	C0151766	Abnormal LFTs	12.4221094599421	3.31391346363909e-142	4	1.67433628314139	\N	0.0956	0.0076959553696
CID000000119	CID000004943	GABA	propofol	C0262385	autonomic instability	468.433333328649	7.18225532619641e-183	5	11.5076923078693	3.54379048163167	0.1222	0.00026086956522
CID000000119	CID000005039	GABA	ranitidine	C0032326	pneumothorax	49.5306122443925	2.3694194463092e-223	5	3.3097345132509	1.67943382882013	0.1618	0.0032666666667
CID000000119	CID000005039	GABA	ranitidine	C1145670	respiratory failure	7.66306787829567	4.2714386324236e-204	5	1.50072816561534	1.3505542471265	0.1648	0.021505747126
CID000000119	CID000005372	GABA	tacrolimus	C0020255	hydrocephalus	63.1338053075332	7.97641796881824e-147	4	1.82891566266382	1.88020813546776	0.0894	0.0014160401003
CID000000119	CID000005372	GABA	tacrolimus	C0039231	heart rate increased	3.00744930948146	7.23536590317936e-51	3	1.31185743660401	\N	0.0513	0.01705764411
CID000000119	CID000005645	GABA	ursodeoxycholic acid	C0002874	Anemia aplastic	63.0936106991905	5.85386082738766e-231	5	2.45581395349523	\N	0.1685	0.0026706349206
CID000000119	CID000005651	GABA	vancomycin	C0004144	atelectasis	10.3808026030346	1.47175475107834e-125	4	\N	2.1642130525548	0.0847	0.0081592920354
CID000000119	CID000005651	GABA	vancomycin	C0020649	arterial pressure NOS decreased	1.65687570722391	1.399849967811e-45	3	\N	1.02579638416384	0.1231	0.074296460177
CID000000119	CID000005651	GABA	vancomycin	C0149721	left ventricular hypertrophy	98.9053763437882	1.27499181981031e-138	4	2.13015873018578	\N	0.0814	0.00082300884956
CID000000119	CID000006691	GABA	warfarin	C0151786	muscle weakness	20.7359697891221	1.58993754388611e-230	5	1.35384615385266	1.20347274335782	0.171	0.0082465397924
CID000000119	CID000039765	GABA	vecuronium	C0018801	cardiac failure	57.3014354066986	0	5	1.67414721228918	1.21914893614427	0.5988	0.01045
CID000000119	CID000039765	GABA	vecuronium	C0235527	right heart failure	90.2857142857143	0	5	3.17307692312574	6.84782608698629	0.395	0.004375
CID000000119	CID000083786	GABA	allopurinol	C0030312	bone marrow failure	8.27919870271295	6.8102298505464e-162	4	\N	2.09003712180385	0.1223	0.014771960958
CID000000143	CID000000206	leucovorin	galactose	C0013604	edema	21.0142175331986	0	5	\N	\N	0.4022	0.019139423077
CID000000143	CID000000444	leucovorin	bupropion	C0019112	haemorrhoids	19.027999999667	6.23641744141559e-86	4	\N	\N	0.0536	0.0028169014085
CID000000143	CID000000444	leucovorin	bupropion	C0518988	dental abscess	47.5484848500251	2.89113745996431e-91	4	1.60857592443372	1.25918208089782	0.0493	0.001036836403
CID000000143	CID000000450	leucovorin	estradiol	C0029456	osteoporosis	37.0898550722488	0	5	\N	1.13269174514066	0.2742	0.0073928571429
CID000000143	CID000000453	leucovorin	mannitol	C0013144	drowsiness	28.5813870248029	3.11926418983484e-282	5	\N	2.61553693830125	0.2054	0.0071864951768
CID000000143	CID000000453	leucovorin	mannitol	C0039231	heart rate increased	2.70986768016874	1.09784989684278e-52	3	\N	1.49745395449783	0.0619	0.02284244373
CID000000143	CID000000453	leucovorin	mannitol	C0456909	blindness	42.3499252621605	8.7719014352602e-147	4	\N	3.67230769226061	0.0911	0.0021511254019
CID000000143	CID000000596	leucovorin	cytosine arabinoside	C0004245	atrioventricular block	19.3728813560931	2.51984254961027e-19	2	\N	\N	0.009	0.00046456692913
CID000000143	CID000000596	leucovorin	cytosine arabinoside	C0012569	Diplopia	4.4123161765006	1.74676714190512e-17	2	\N	1.22441195168718	0.0126	0.0028556430446
CID000000143	CID000000596	leucovorin	cytosine arabinoside	C0018989	hemiparesis	5.80366713681691	9.6171912299344e-34	3	\N	2.08893709327707	0.0216	0.0037217847769
CID000000143	CID000000596	leucovorin	cytosine arabinoside	C0027497	nausea	1.60014482259696	4.30690530067425e-31	3	\N	\N	0.0986	0.061619422572
CID000000143	CID000000596	leucovorin	cytosine arabinoside	C0039231	heart rate increased	2.89755442888609	3.93419700117718e-68	3	\N	1.97373637820224	0.0765	0.026401574803
CID000000143	CID000000596	leucovorin	cytosine arabinoside	C0344232	blurred vision	4.24876093290497	2.80320235266653e-20	2	\N	\N	0.0153	0.0036010498688
CID000000143	CID000000598	leucovorin	mesna	C0003862	Aching joints	4.55740578438048	5.8101200099028e-33	3	\N	\N	0.025	0.0054855769231
CID000000143	CID000000598	leucovorin	mesna	C0009421	coma	6.80944479893722	6.56818197546433e-74	4	\N	1.98757515029184	0.0513	0.0075336538462
CID000000143	CID000000598	leucovorin	mesna	C0015967	body temperature increased	2.32073745306072	1.05279110431954e-109	4	\N	\N	0.1634	0.070408653846
CID000000143	CID000000598	leucovorin	mesna	C0022346	icterus	8.49037542658407	4.38852138074908e-88	4	\N	1.78225165561686	0.0598	0.0070432692308
CID000000143	CID000000598	leucovorin	mesna	C0030353	optic disc edema	34.5280000001842	1.06795827367451e-49	3	1.34724377296736	6.33333333333333	0.0249	0.00072115384615
CID000000143	CID000000598	leucovorin	mesna	C0040264	tinnitus	12.8659793814751	2.41610457167163e-21	3	\N	6.04369747878845	0.012	0.00093269230769
CID000000143	CID000000598	leucovorin	mesna	C0243026	sepsis	2.12239206220141	9.99790115143513e-48	3	1.10275460288006	1.18886462607643	0.0761	0.035855769231
CID000000143	CID000000772	leucovorin	heparin	C0002871	anaemia	1.6647699836794	1.88550787395619e-49	3	\N	1.19329003160423	0.1263	0.075866336634
CID000000143	CID000000772	leucovorin	heparin	C0018800	cardiac enlargement	1.80880183159538	1.98567748868185e-05	2	\N	\N	0.0088	0.0048650990099
CID000000143	CID000000772	leucovorin	heparin	C0035222	Acute Respiratory Distress Syndrome	7.64603580558618	1.00448091874152e-67	3	\N	1.56063206878789	0.0444	0.0058069306931
CID000000143	CID000000772	leucovorin	heparin	C0342579	Electrolyte disorder	14.2588235292168	1.9452091260808e-61	3	1.515198068025	\N	0.0351	0.0024616336634
CID000000143	CID000000853	leucovorin	thyroxine	C0008033	pleural pain	1.21000238152171	9.62512119590834e-05	2	\N	1.16086507157482	0.0438	0.036198275862
CID000000143	CID000000853	leucovorin	thyroxine	C0017160	gastroenteritis	6.29769265564725	8.7733946575028e-34	3	2.74215469098948	1.10835702437891	0.0225	0.003572737069
